,difference,normalized difference,std,-log(p),electrode A,electrode B,drowsiness,seperation,chunk,atom,participant
115581,-0.0029046334902296184,-0.10169489001972117,0.0006484776007313251,0.1821070935160698,57,69,awake,neighbours,post2,sts,4
115582,-0.009977649616623434,-0.3493301250677312,0.0006134338065559798,0.8091560769480723,57,69,awake,neighbours,post2,sts,5
115583,-0.002281916563364503,-0.07989278328095993,0.0008347653416800137,0.11789730935251945,57,69,awake,neighbours,post2,sts,6
115584,0.0281901106548806,0.9869714070070936,0.01818330803735426,0.5175689089115296,57,69,awake,neighbours,post2,sts,7
115585,-0.010528941583379673,-0.36863155367020856,0.0006085114121551799,0.7355580146864809,57,69,awake,neighbours,post2,sts,8
115586,0.0010558816657087883,0.03696775177635466,0.0012097916717433402,0.03679446749332045,57,69,awake,neighbours,post2,sts,9
115587,-0.010838520749196995,-0.3794703115810047,0.001235400046930734,0.4781093273675833,57,69,awake,neighbours,post2,sts,10
115588,-0.004368055334351056,-0.15293113858291674,0.0008302816902091711,0.1717281750339792,57,69,awake,neighbours,post2,sts,11
115589,-0.0008303838002892555,-0.029072786473276633,0.0029495972065483912,0.019434002625329325,57,69,awake,neighbours,post2,sts,12
115590,0.02351214454162299,0.8231899003199601,0.0008142998066385384,2.412287491618001,57,69,awake,neighbours,post2,sts,13
115591,0.013039142599573266,-0.6086676564953781,0.0004938911511737548,1.3803001653669371,80,90,awake,close range,post2,sts,1
115592,-0.057045624200970986,2.6628918374477615,0.011379082515246152,1.5726213818858494,80,90,awake,close range,post2,sts,2
115593,0.006663071452570057,-0.3110324206616009,0.0004992816257143723,0.5973286800838176,80,90,awake,close range,post2,sts,3
115594,-0.008213258848806984,0.38339522537754,0.0006706618322501924,0.7031693136135927,80,90,awake,close range,post2,sts,4
115595,-0.009694533881971338,0.4525411984487117,0.0005565987146098899,0.9112733167555036,80,90,awake,close range,post2,sts,5
115596,-0.02656177031971241,1.239904416214986,0.0007995333885976737,2.7163985317510937,80,90,awake,close range,post2,sts,6
115597,0.02574455542656194,-1.2017567949225172,0.004862102957349668,0.9257872631748078,80,90,awake,close range,post2,sts,7
115598,-0.0014701454251917837,0.06862644256135135,0.00037810973020209785,0.11684925489180535,80,90,awake,close range,post2,sts,8
115599,0.007267211470633892,-0.33923369894212396,0.0008970722832256025,0.39836468604134173,80,90,awake,close range,post2,sts,9
115600,-0.0039767003420514676,0.1856325183421225,0.0005577520160033392,0.2702681212649019,80,90,awake,close range,post2,sts,10
115601,-0.0007230862079513466,0.033753690802666714,0.0006975508326569789,0.030772010946267237,80,90,awake,close range,post2,sts,11
115602,0.014760591190446315,-0.6890249400807468,0.0021304111072918113,0.7549689065240498,80,90,awake,close range,post2,sts,12
115603,-0.002768680118329439,0.12924208983373478,0.000683192485994446,0.1867126643477013,80,90,awake,close range,post2,sts,13
115604,0.0022407705162369213,-0.36855406267121854,0.0004978000550795613,0.1435476523269171,6,42,awake,long range,post2,sts,1
115605,-0.05001069813286154,8.225583941029162,0.0280445181906361,0.5823326377333536,6,42,awake,long range,post2,sts,2
